question,answer,total,original_question,original_answer
314,sum series,partial sum series sum first n sequence partial series sometimes real limit say limit sum series say series sum series sum individual tend zero,sum series partial sum series sum first n sequence partial series sometimes real limit say limit sum series say series sum series sum individual tend zero,What is the sum of a series?,"The n-th partial sum of a series is the sum of the first n terms. The sequence of partial sums of a series sometimes tends to a real limit. If this happens, we say that this limit is the sum of the series. If not, we say that the series has no sum. A series can have a sum only if the individual terms tend to zero."
315,series,series way approximate function polynomial term polynomial comes function single point general formula series f x n n f n n n choice primarily based upon value polynomial polynomial becomes accurate approximation added summation,series series way approximate function polynomial term polynomial comes function single point general formula series f x n n f n n n choice primarily based upon value polynomial polynomial becomes accurate approximation added summation,What is a Taylor series ?,"A Taylor series is a way to approximate any function as a polynomial. Each term of the Taylor polynomial comes from the function's derivatives at a single point.

The general formula for a Taylor Series is as follows: 

$f(x) = \sum_{n=0}^{\infty} c_{n}(x-a)^{n}$

$f(a)=\frac{f^{\prime}(a)}{1 !}(x-a)+\frac{f^{\prime \prime}(a)}{2 !}(x-a)^{2}+\frac{f^{\prime \prime \prime}(a)}{3 !}(x-a)^{3}+\cdots$

where $c_{n} = \frac{f^{(n)}(a)}{n!}$. The choice of $a$ is primarily based upon what value the polynomial is to be solved for.

The Taylor polynomial becomes a more accurate approximation as more terms are added to the summation. "
316,series testing,idea test term one series smaller another sum series must smaller every term series smaller corresponding term converging series smaller series must also converge,series testing idea test term one series smaller another sum series must smaller every term series smaller corresponding term converging series smaller series must also converge,What is series testing by comparing?,"The idea with this test is that if each term of one series is smaller than another, then the sum of that series must be smaller. So, if every term of a series is smaller than the corresponding term of a converging series, the smaller series must also converge."
317,set,set group collection considered entity unto usually b object number set member element set,set set group collection considered entity unto usually b object number set member element set,What is a set ?,"A set is a group or collection of objects or numbers, considered as an entity unto itself. Sets are usually symbolized by uppercase, italicized, boldface letters such as A, B, S, or Z. Each object or number in a set is called a member or element of the set."
318,bounded set,real set real bounded real number k necessarily k set bounded upper lower therefore set real bounded finite interval,bounded set real set real bounded real number k necessarily k set bounded upper lower therefore set real bounded finite interval,What is a bounded set ?,"In the real numbers, a set $S$ of real numbers is called bounded from above if there exists some real number $k$ (not necessarily in $S$) such that $k \geq s$ for all $s$ in $S$. A set $S$ is bounded if it has both upper and lower bounds. Therefore, a set of real numbers is bounded if it is contained in a finite interval."
319,,shift rigid translation change shape size graph function shift change location graph vertical shift constant every leaving unchanged, shift rigid translation change shape size graph function shift change location graph vertical shift constant every leaving unchanged,What are shifts of functions?,"A shift is a rigid translation in that it does not change the shape or size of the graph of the function. All that a shift will do is change the location of the graph. A vertical shift adds/subtracts a constant to/from every y-coordinate while leaving the x-coordinate unchanged.

![](https://s3-us-west-2.amazonaws.com/courses-images-archive-read-only/wp-content/uploads/sites/924/2015/11/25200824/CNX_Precalc_Figure_01_05_009a2.jpg)"
320,sigma notation,sigma notation method used write long sum concise way capital letter sigma,sigma notation sigma notation method used write long sum concise way capital letter sigma,What is the sigma notation?,"Sigma notation is a method used to write out a long sum in a concise way, using the capital letter sigma."
321,derivative sine function,derivative sine function written cos meaning rate change sin x particular angle x given cosine angle,derivative sine function derivative sine function written cos meaning rate change sin x particular angle x given cosine angle,What is derivative of sine function?,"The derivative of the sine function is written sin′(a) = cos(a), meaning that the rate of change of sin(x) at a particular angle x = a is given by the cosine of that angle."
322,linear equation plane,line determined point line direction line slope angle inclination given equation line written form likewise line l space determined know point p,linear equation plane line determined point line direction line slope angle inclination given equation line written form likewise line l space determined know point p,What is linear equation of a plane?,"Lines. A line in the xy-plane is determined when a point on the line and the direction of the line (its slope or angle of inclination) are given. The equation of the line can then be written using the point-slope form. Likewise, a line L in three-dimensional space is determined. when we know a point P."
323,linear function,linear whose graph straight line linear function following form f x linear function one independent variable one dependent variable independent variable x dependent variable,linear function linear whose graph straight line linear function following form f x linear function one independent variable one dependent variable independent variable x dependent variable,What is linear function?,Linear functions are those whose graph is a straight line. A linear function has the following form. y = f(x) = a + bx. A linear function has one independent variable and one dependent variable. The independent variable is x and the dependent variable is y.
324,sine function graph,sine function beautiful curve every,sine function graph sine function beautiful curve every,What is the sine function graph?,"The Sine Function has this beautiful up-down curve (which repeats every 2π radians, or 360°). It starts at 0, heads up to 1 by π/2 radians (90°) and then heads down to −1."
327,sine function inverse,inverse sine function also inverse sine function since sine angle sine function equal ratio opposite side hypotenuse thus sine inverse ratio give measure angle let say angle sin opposite side,sine function inverse inverse sine function also inverse sine function since sine angle sine function equal ratio opposite side hypotenuse thus sine inverse ratio give measure angle let say angle sin opposite side,What is the sine function inverse?,"The inverse sine function (also called arcsine) is the inverse of sine function. Since sine of an angle (sine function) is equal to ratio of opposite side and hypotenuse, thus sine inverse of same ratio will give the measure of the angle. Let's say θ is the angle, then: sin(θ) = (Opposite side to θ/Hypotenuse)"
328,linear model,linear model equation relationship two show constant rate change,linear model linear model equation relationship two show constant rate change,What is linear model?,A linear model is an equation that describes a relationship between two quantities that show a constant rate of change.
329,linearization,linearization function f x b l x f b b b similar familiar formula l x one variable extra term second variable,linearization linearization function f x b l x f b b b similar familiar formula l x one variable extra term second variable,What is linearization?,"The Linearization of a function f(x,y) at (a,b) is L(x,y) = f(a,b)+(x−a)fx(a,b)+(y−b)fy(a,b). This is very similar to the familiar formula L(x)=f(a)+f′(a)(x−a) functions of one variable, only with an extra term for the second variable."
330,figure,curve also known figure curve graph system parametric describe complex harmonic motion family later detail,figure curve also known figure curve graph system parametric describe complex harmonic motion family later detail,What is Lissajous figure?,"A Lissajous curve, also known as Lissajous figure or Bowditch curve, is the graph of a system of parametric equations

$x=Asin(at+\delta)$
$y=Bsin(bt)$

which describe complex harmonic motion. This family of curves was investigated by Nathaniel Bowditch in 1815, and later in more detail in 1857 by Jules Antoine Lissajous (for whom it has been named)."
331,logarithm,logarithm power number must raised order get number see section math review example base ten logarithm ten raised power two log,logarithm logarithm power number must raised order get number see section math review example base ten logarithm ten raised power two log,What is logarithm?,"A logarithm is the power to which a number must be raised in order to get some other number (see Section 3 of this Math Review for more about exponents). For example, the base ten logarithm of 100 is 2, because ten raised to the power of two is 100: log 100 = 2."
332,graph logarithmic function,logarithmic function similar shape square root function vertical asymptote x right point graph logarithmic form b positive real number,graph logarithmic function logarithmic function similar shape square root function vertical asymptote x right point graph logarithmic form b positive real number,What is graph of logarithmic function?,"The logarithmic function is similar in shape to the square root function, but with a vertical asymptote as x approaches 0 from the right. The point (1,0) is on the graph of all logarithmic functions of the form $y=log_bx$ $y = log_bx$ , where b is a positive real number."
333,logistic differential equation,logistic differential equation ordinary differential equation whose solution logistic function logistic model bounded growth standard exponential fail take account prevent indefinite growth logistic correct error,logistic differential equation logistic differential equation ordinary differential equation whose solution logistic function logistic model bounded growth standard exponential fail take account prevent indefinite growth logistic correct error,What is logistic differential equation?,"A logistic differential equation is an ordinary differential equation whose solution is a logistic function. Logistic functions model bounded growth - standard exponential functions fail to take into account constraints that prevent indefinite growth, and logistic functions correct this error."
334,longbow curve,finding parametric equation longbow curve circle figure circle radius stationary every point p segment curve p longbow curve,longbow curve finding parametric equation longbow curve circle figure circle radius stationary every point p segment curve p longbow curve,What is longbow curve?,"Finding the parametric equation for a longbow curve about a circle. In the figure the circle of radius a is stationary, and for every θ, the point P is the midpoint of the segment QR. The curve traced out by P for 0<θ<π is called the longbow curve."
335,machine diagram function,function machine diagram machine input rule set answer output task either determine input output whatever take place inside machine example,machine diagram function function machine diagram machine input rule set answer output task either determine input output whatever take place inside machine example,What is machine diagram of a function?,"A Function Machine is a diagram that represents a machine that takes an input, applies a rule such as a set of operations and delivers the answer as an output. Your task is either to determine the input, the output or whatever operations take place inside the machine.

Example:
![](https://asu-media.s3-us-west-1.amazonaws.com/Screen+Shot+2021-05-25+at+3.19.49+PM.png)"
336,skew,two parallel also agonic since two plane must intersect parallel skew exist three,skew two parallel also agonic since two plane must intersect parallel skew exist three,What are skew lines ?,"Two or more lines which have no intersections but are not parallel, also called agonic lines. Since two lines in the plane must intersect or be parallel, skew lines can exist only in three or more dimensions.


![](https://asu-media.s3-us-west-1.amazonaws.com/Screen+Shot+2021-05-25+at+12.52.41+PM.png)"
337,slant asymptote,slant asymptote also known oblique asymptote degree numerator polynomial greater degree denominator polynomial formula asymptote may determined dividing numerator denominator via long division,slant asymptote slant asymptote also known oblique asymptote degree numerator polynomial greater degree denominator polynomial formula asymptote may determined dividing numerator denominator via long division,What is a slant asymptote ?,"A slant asymptote, also known as an oblique asymptote, occurs when the degree of the numerator polynomial is greater than the degree of the denominator polynomial. The formula for the asymptote may be determined by dividing the numerator by the denominator via long division. "
338,equation line,slope intercept form slope b use form linear equation draw graph equation plane,equation line slope intercept form slope b use form linear equation draw graph equation plane,What is the slope-intercept equation of a line ?,"Slope intercept form is y=mx+b, where m is slope and b is the y-intercept. We can use this form of a linear equation to draw the graph of that equation on the x-y coordinate plane."
339,series,series polynomial representation function infinite sum calculated single point polynomial special case polynomial zero single point formula series derived following summation n n n,series series polynomial representation function infinite sum calculated single point polynomial special case polynomial zero single point formula series derived following summation n n n,What is Maclaurin series?,"The Taylor Series, or Taylor Polynomial, is a representation of a function as an infinite sum of terms calculated from the values of its derivatives at a single point. A Maclaurin Polynomial, is a special case of the Taylor Polynomial, that uses zero as our single point.

The formula for a Maclaurin series can be derived from the following summation:

$\sum_{n=0}^{\infty} \frac{f^{(n)}(0)}{n!} x^{n}$"
340,marginal revenue function,marginal revenue increase revenue sale one additional unit output marginal revenue remain constant certain level output law eventually slow output level,marginal revenue function marginal revenue increase revenue sale one additional unit output marginal revenue remain constant certain level output law eventually slow output level,What is marginal revenue function?,"Marginal revenue (MR) is the increase in revenue that results from the sale of one additional unit of output. While marginal revenue can remain constant over a certain level of output, it follows from the law of diminishing returns and will eventually slow down as the output level increases."
341,mathematical model population growth,exponential logistic growth mathematical model used compute population mathematical model population growth assumption population rate proportional size population exponential growth model p increment time initial population amount k growth factor another exponential growth model p increment time initial population amount k growth factor,mathematical model population growth exponential logistic growth mathematical model used compute population mathematical model population growth assumption population rate proportional size population exponential growth model p increment time initial population amount k growth factor another exponential growth model p increment time initial population amount k growth factor,What is mathematical model for population growth?,"The exponential and logistic growth mathematical model was used to compute the predicted population values. 

Malthus proposed a mathematical model of population growth. He proposed by the assumption that the population grows at a rate proportional to the size of the population.

The Exponential Growth Model is $P(t) = P_{0}e^{kt}$, where t is an increment of time, $P_{0}$ is the initial population or amount, and k is the growth factor.  

Another exponential growth model is as follows: $P(t) = P_{0}e^{kt}$, where t is an increment of time, $P_{0}$ is the initial population or amount, and k is the growth factor.  "
342,method,method really algorithm gradient function direction also satisfying,method method really algorithm gradient function direction also satisfying,What is method of Lagrange multipliers?,"Method of Lagrange multipliers is really just an algorithm that finds where the gradient of a function points in the same direction as the gradients of its constraints, while also satisfying those constraints."
343,smooth,curve defined smooth x x continuous simultaneously zero,smooth curve defined smooth x x continuous simultaneously zero,What is a smooth parametrization ?,"A curve defined by x=f(t),y=g(t) is smooth if f′(x) and g′(x) are continuous and not simultaneously zero."
344,method least,least method statistical procedure find best fit set data sum plotted curve least regression used predict behavior dependent,method least least method statistical procedure find best fit set data sum plotted curve least regression used predict behavior dependent,What is method of least squares?,The least squares method is a statistical procedure to find the best fit for a set of data points by minimizing the sum of the offsets or residuals of points from the plotted curve. Least squares regression is used to predict the behavior of dependent variables.
345,strip,common manufacture fabric computer printer typewriter let ribbon twice wide print head halves evenly,strip common manufacture fabric computer printer typewriter let ribbon twice wide print head halves evenly,What is Möbius strip?,"Möbius strips are common in the manufacture of fabric computer printer and typewriter ribbons, as they let the ribbon be twice as wide as the print head while using both halves evenly."
346,monotonic sequence,monotonic constantly increase constantly decrease,monotonic sequence monotonic constantly increase constantly decrease,What is monotonic sequence?,Monotonic sequences are sequences which constantly increase or constantly decrease. 
347,monotonic sequence theorem,informally state sequence increasing bounded sequence converge way sequence decreasing bounded converge,monotonic sequence theorem informally state sequence increasing bounded sequence converge way sequence decreasing bounded converge,What is the Monotonic Sequence Theorem?,"Informally, the theorems state that if a sequence is increasing and bounded above by a supremum, then the sequence will converge to the supremum; in the same way, if a sequence is decreasing and is bounded below by an infimum, it will converge to the infimum. ..."
348,graph natural exponential function,graph function defined f x similar graph f x b natural exponential function simply version exponential function f x,graph natural exponential function graph function defined f x similar graph f x b natural exponential function simply version exponential function f x,What is graph of natural exponential function?,"The graph of the function defined by f (x) = $e^x$. looks similar to the graph of f (x) = $b^x$ where b > 1. This natural exponential function is simply a ""version"" of the exponential function f (x) = $b^x$."
349,power series natural exponential function x,let x exponential function x r x n n,power series natural exponential function x let x exponential function x r x n n,What is power series expansions for natural exponential function $e^{x}$?,"Let $\exp x$ be the exponential function.
Then:
$$
\begin{aligned}
\forall x \in \mathbb{R}: \quad \exp x &=\sum_{n=0}^{\infty} \frac{x^{n}}{n !} \\
&=1+x+\frac{x^{2}}{2 !}+\frac{x^{3}}{3 !}+\cdots
\end{aligned}
$$"
350,natural exponential function,number ex follow inverse domain range defined x never negative e e graph,natural exponential function number ex follow inverse domain range defined x never negative e e graph,What is properties of natural exponential function?,"A number of properties of ex follow from properties of its inverse lnx: 

lnx = y ⇐⇒ $e^y$ = x. 

y = $e^x$ has domain (−∞,∞) and range (0,∞). 
That is, $e^x$ is defined for all x, but $e^x$ is never 0 or negative. 

$e^0$ = 1 and $e^1$ = e, so the points (0,1) and (1,e) are on the graph."
351,natural growth law,quantity rate proportional size equation form k equation law natural growth solution differential equation function equation,natural growth law quantity rate proportional size equation form k equation law natural growth solution differential equation function equation,What is natural growth law?,"A quantity y that grows or decays at a rate proportional to its size fits in an equation of the form dy dt = ky. ... k > 0, the equation is called the law of natural growth. A solution to a differential equation is a function y which satisfies the. equation."
352,natural logarithm function,natural logarithm number n power exponent e raised equal constant e constant approximately equal n x n e natural logarithm mostly used pure mathematics calculus,natural logarithm function natural logarithm number n power exponent e raised equal constant e constant approximately equal n x n e natural logarithm mostly used pure mathematics calculus,What is natural logarithm function?,"The natural logarithm of a number N is the power or exponent to which 'e' has to be raised to be equal to N. The constant 'e' is the Napier constant and is approximately equal to 2.718281828. ln N = x, which is the same as N = e x. Natural logarithm is mostly used in pure mathematics such as calculus."
353,derivative natural logarithm function,derivative natural logarithmic function x simply divided derivative found definition derivative calculator,derivative natural logarithm function derivative natural logarithmic function x simply divided derivative found definition derivative calculator,What is derivative of natural logarithm function?,The derivative of the natural logarithmic function (ln[x]) is simply 1 divided by x. This derivative can be found using both the definition of the derivative and a calculator.
354,net change theorem,net change theorem considering integral rate change quantity new value initial value plus integral rate change quantity net change positive number negative number zero,net change theorem net change theorem considering integral rate change quantity new value initial value plus integral rate change quantity net change positive number negative number zero,What is Net Change Theorem?,"The net change theorem considering the integral of a rate of change. It says that when a quantity changes, the new value equals the initial value plus the integral of the rate of change of that quantity. Net change can be a positive number, a negative number, or zero."
355,,newton meter device newton related unit force newton one second type newton meter used measure energy unit energy joule, newton meter device newton related unit force newton one second type newton meter used measure energy unit energy joule,What is newton-meter?,A Newton meter is a device that measures Newtons. All Newton meters are related to the unit of force called a “Newton”. One second type of Newton meter is used to measure energy. A unit of energy is called a “Joule”.
356,integral curve,integral curve parametric curve specific solution ordinary differential equation system differential equation vector field slope field corresponding integral tangent field point,integral curve integral curve parametric curve specific solution ordinary differential equation system differential equation vector field slope field corresponding integral tangent field point,What is an integral curve ?,"An integral curve is a parametric curve that represents a specific solution to an ordinary differential equation or system of equations. If the differential equation is represented as a vector field or slope field, then the corresponding integral curves are tangent to the field at each point."
357,solution differential equation,solution differential equation expression dependent variable independent one relation general solution possible typically arbitrary case ode arbitrary case,solution differential equation solution differential equation expression dependent variable independent one relation general solution possible typically arbitrary case ode arbitrary case,What is a solution of a differential equation ?,A solution of a differential equation is an expression for the dependent variable in terms of the independent one(s) which satisfies the relation. The general solution includes all possible solutions and typically includes arbitrary constants (in the case of an ODE) or arbitrary functions (in the case of a PDE.)
358,equation sphere,b c sphere r radius x z surface sphere general equation sphere x b z c,equation sphere b c sphere r radius x z surface sphere general equation sphere x b z c,What is the equation of a sphere ?,"If (a, b, c) is the centre of the sphere, r represents the radius, and x, y, and z are the coordinates of the points on the surface of the sphere, then the general equation of a sphere is (x – a)² + (y – b)² + (z – c)² = r²"
359,parametric equation sphere,one common form parametric equation sphere x z constant radius longitude colatitude since surface sphere two dimensional parametric usually two case,parametric equation sphere one common form parametric equation sphere x z constant radius longitude colatitude since surface sphere two dimensional parametric usually two case,What is a parametric equation of a sphere ?,"One common form of parametric equation of a sphere is: (x,y,z)=(ρcosθsinϕ,ρsinθsinϕ,ρcosϕ) where ρ is the constant radius, θ∈[0,2π) is the longitude and ϕ∈[0,π] is the colatitude. Since the surface of a sphere is two dimensional, parametric equations usually have two variables (in this case θ and ϕ )."
360,spherical,spherical r commonly used physics iso convention radial distance r distance origin polar angle theta angle respect polar axis azimuthal angle phi angle rotation initial meridian plane symbol rho often used instead r,spherical spherical r commonly used physics iso convention radial distance r distance origin polar angle theta angle respect polar axis azimuthal angle phi angle rotation initial meridian plane symbol rho often used instead r,What are spherical coordinates ?,"Spherical coordinates (r, θ, φ) as commonly used in physics (ISO 80000-2:2019 convention): radial distance r (distance to origin), polar angle θ (theta) (angle with respect to polar axis), and azimuthal angle φ (phi) (angle of rotation from the initial meridian plane). The symbol ρ (rho) is often used instead of r."
361,nondifferentiable function,function differential case one variable function finite derivative,nondifferentiable function function differential case one variable function finite derivative,What is nondifferentiable function?,A function that does not have a differential. In the case of functions of one variable it is a function that does not have a finite derivative.
362,convert spherical,convert point spherical use,convert spherical convert point spherical use,How do we convert spherical coordinates to Cartesian coordinates ?,"To convert a point from spherical coordinates to Cartesian coordinates, use equations x=ρsinφcosθ,y=ρsinφsinθ, and z=ρcosφ."
363,squeeze theorem,squeeze sandwich theorem f x g x h x point f k k g k must also equal use theorem find tricky like sin x x squeezing sin x x two find limit,squeeze theorem squeeze sandwich theorem f x g x h x point f k k g k must also equal use theorem find tricky like sin x x squeezing sin x x two find limit,What is Squeeze Theorem?,"The squeeze (or sandwich) theorem states that if $f(x) \leq g(x) \leq h(x)$ for all numbers, and at some point $x=k$ we have $f(k)=h(k)$, then $g(k)$ must also be equal to them. We can use the theorem to find tricky limits like $\frac{sin(x)}{x}$ at $x=0$, by ""squeezing"" $\frac{sin(x)}{x}$ between two nicer functions and ​using them to find the limit at $x=0$."
364,squeeze theorem,squeeze theorem l integer n n n sequence direct result squeeze theorem also absolute value theorem,squeeze theorem squeeze theorem l integer n n n sequence direct result squeeze theorem also absolute value theorem,What is Squeeze Theorem for sequences?,"Squeeze Theorem for Sequences: If limn→∞ bn = limn→∞ cn = L and there exists an integer N such that bn ≤ an ≤ cn for all n>N, then limn→∞ an = L. converges or diverges. In other words, the sequence {an} converges to 0. As a direct result of the Squeeze Theorem, we also have the Absolute Value Theorem."
365,nonintegrable function,non integrable function one definite integral ca assigned value example function integrable ca assign integral number,nonintegrable function non integrable function one definite integral ca assigned value example function integrable ca assign integral number,What is nonintegrable function?,A non integrable function is one where the definite integral can't be assigned a value. For example the Dirichlet function isn't integrable. You just can't assign that integral a number.
366,perpendicular,line said perpendicular plane perpendicular every line plane definition definition perpendicularity two space said perpendicular angle two right angle,perpendicular line said perpendicular plane perpendicular every line plane definition definition perpendicularity two space said perpendicular angle two right angle,What is perpendicular planes?,A line is said to be perpendicular to a plane if it is perpendicular to every line in the plane that it intersects. This definition depends on the definition of perpendicularity between lines. Two planes in space are said to be perpendicular if the angle between two intersecting planes is a right angle (90 degrees).
367,normal distribution,normal distribution continuous probability distribution probability density function function informally bell curve normal distribution approximation random distribution around single mean value,normal distribution normal distribution continuous probability distribution probability density function function informally bell curve normal distribution approximation random distribution around single mean value,What is normal distribution?,"Normal or Gaussian distribution is a continuous probability distribution that has a bell-shaped probability density function (Gaussian function), or informally a bell curve. ... The normal distribution is an approximation that describes the real-valued random distribution that clusters around a single mean value."
368,polynomial,approximation function function series nth degree polynomial series term nth derivative,polynomial approximation function function series nth degree polynomial series term nth derivative,What is nth-degree Taylor polynomial?,An approximation of a function using terms from the function's Taylor series. An nth degree Taylor polynomial uses all the Taylor series terms up to and including the term using the nth derivative.
369,numerical integration,numerical integration approximate computation integral numerical numerical computation integral sometimes quadrature generalization trapezoidal rule integration yield accurate many function,numerical integration numerical integration approximate computation integral numerical numerical computation integral sometimes quadrature generalization trapezoidal rule integration yield accurate many function,what is numerical integration?,"Numerical integration is the approximate computation of an integral using numerical techniques. The numerical computation of an integral is sometimes called quadrature. ... A generalization of the trapezoidal rule is Romberg integration, which can yield accurate results for many fewer function evaluations."
370,function,function function never repeat example function f x function answer input function f x x function different answer every input,function function function never repeat example function f x function answer input function f x x function different answer every input,What is one-to-one function?,"A one-to-one function is a function in which the answers never repeat. ... For example, the function f(x) = x^2 is not a one-to-one function because it produces 4 as the answer when you input both a 2 and a -2, but the function f(x) = x - 3 is a one-to-one function because it produces a different answer for every input."
371,,limit either two function f x real variable x x point either left right used determine limit limit exist must exist equal value l following three limit f x may exist click explore source link view video, limit either two function f x real variable x x point either left right used determine limit limit exist must exist equal value l following three limit f x may exist click explore source link view video,What are one-sided limits?,"A one-sided limit is either of the two limits of a function f(x) of a real variable x as x approaches a specified point either from the left or from the right. One-sided limits are used to determine if the two-sided limit exists. For the two-sided limit to exist both one-sided limits must exist and be equal to the same value. = and L = M. The following three cases are situations where the limit of f as x approaches a may not exist, click on the ""explore the source"" link below to view a video on these cases."
372,open region,region open entirely interior region closed boundary,open region region open entirely interior region closed boundary,What is open region?,A region is open if it consists entirely of interior points. A region is closed if it contains all of its boundary points.
373,standard basis,standard unit special unit parallel axes pointing toward positive,standard basis standard unit special unit parallel axes pointing toward positive,What is standard basis vectors?,"The standard unit vectors are the special unit vectors that are parallel to the coordinate axes, pointing toward positive values of the coordinate."
374,standard position angle,angle standard position vertex origin initial side along positive angle measured counterclockwise direction initial side terminal side angle said positive angle,standard position angle angle standard position vertex origin initial side along positive angle measured counterclockwise direction initial side terminal side angle said positive angle,What is standard position of an angle?,"An angle is in standard position if its vertex is located at the origin, and its initial side extends along the positive x-axis. If the angle is measured in a counterclockwise direction from the initial side to the terminal side, the angle is said to be a positive angle."
375,stationary point,stationary occur maximum inflection based behavior around,stationary point stationary occur maximum inflection based behavior around,What is a stationary point ?,"Stationary points occur when $\frac{dy}{dx} = 0$, and can be maximum, minimums, or points of inflection based on behavior around the points. "
376,theorem,stoke theorem surface integral curl function surface bounded closed surface equal line integral particular vector function around c closed curve surface bounded c,theorem stoke theorem surface integral curl function surface bounded closed surface equal line integral particular vector function around c closed curve surface bounded c,What is Stokes’ Theorem?,Stoke's theorem states that “the surface integral of the curl of a function over a surface bounded by a closed surface is equal to the line integral of the particular vector function around that surface.” Where C = A closed curve. S = Any surface bounded by C.
377,strophoid,strophoid curve given curve c let l variable line passing c let two l whose distance k distance k,strophoid strophoid curve given curve c let l variable line passing c let two l whose distance k distance k,What is a strophoid ?,A strophoid is a curve generated from a given curve C and points A and O as follows: Let L be a variable line passing through O and intersecting C at K. Now let P₁ and P₂ be the two points on L whose distance from K is the same as the distance from A to K.
378,substitution rule,substitution rule trick based following identity u function x u time problem method integration finding right substitution,substitution rule substitution rule trick based following identity u function x u time problem method integration finding right substitution,What is the Substitution Rule ?,The substitution rule is a trick for evaluating integrals. It is based on the following identity between differentials (where u is a function of x): du = u dx. Most of the time the only problem in using this method of integration is finding the right substitution.
379,sum geometric series,find sum finite geometric series use formula n number first term r common ratio,sum geometric series find sum finite geometric series use formula n number first term r common ratio,What is sum of a geometric series?,"To find the sum of a finite geometric series, use the formula, $S_n$=$a_1$$\dfrac{1-r^n}{1-r}$, r≠1 , where n is the number of terms, $a_1$ is the first term and r is the common ratio ."
380,sum,sum two resultant resultant two found either parallelogram method triangle method,sum sum two resultant resultant two found either parallelogram method triangle method,What is the sum of vectors ?,The sum of two or more vectors is called the resultant. The resultant of two vectors can be found using either the parallelogram method or the triangle method .
381,sum law,sum law first law sum law sum law basically limit sum two sum sum law f x g x exist,sum law sum law first law sum law sum law basically limit sum two sum sum law f x g x exist,What is Sum Law of limits ?,Sum Law. The first Law of Limits is the Sum Law. The Sum Law basically states that the limit of the sum of two functions is the sum of the limits. The Sum Law. If $lim_{x\rightarrow a}f(x)=L$ and $lim_{x\rightarrow a}g(x)=M$ both exist then.
382,sum rule,probability one two mutually exclusive occur sum individual rule probability occurrence mutually exclusive sum individual,sum rule probability one two mutually exclusive occur sum individual rule probability occurrence mutually exclusive sum individual,What is the Sum Rule in probabilities ?,The probability that one or the other of two mutually exclusive events will occur is the sum of their individual probabilities. The rule that states that the probability of the occurrence of mutually exclusive events is the sum of the probabilities of the individual events.
383,parametric equation surface,x x z z parametric surface surface,parametric equation surface x x z z parametric surface surface,What is the parametric equation for a surface ?,"The equations x=x(s,t), x = x(s,t) , y=y(s,t), y = y (s,t) , and z=z(s,t) z = z (s,t) are the parametric equations for the surface, or a parametrization of the surface."
384,surface integral vector field,vector field f flow fluid surface integral f represent amount fluid flowing surface per unit time amount fluid flowing surface per unit time also flux fluid surface,surface integral vector field vector field f flow fluid surface integral f represent amount fluid flowing surface per unit time amount fluid flowing surface per unit time also flux fluid surface,What is surface integral of a vector field?,"If the vector field F represents the flow of a fluid, then the surface integral of F will represent the amount of fluid flowing through the surface (per unit time). The amount of the fluid flowing through the surface per unit time is also called the flux of fluid through the surface."
385,surface revolution area surface integral,surface revolution surface space rotating curve generatrix around axis rotation revolution straight line cylindrical conical depending whether line parallel axis,surface revolution area surface integral surface revolution surface space rotating curve generatrix around axis rotation revolution straight line cylindrical conical depending whether line parallel axis,What is surface of revolution area of surface integral?,A surface of revolution is a surface in Euclidean space created by rotating a curve (the generatrix) around an axis of rotation. Examples of surfaces of revolution generated by a straight line are cylindrical and conical surfaces depending on whether or not the line is parallel to the axis.
386,symmetry,balanced also beauty form balanced property symmetrical especially correspondence size shape relative position opposite sides dividing line median plane center axis compare bilateral symmetry radial symmetry,symmetry balanced also beauty form balanced property symmetrical especially correspondence size shape relative position opposite sides dividing line median plane center axis compare bilateral symmetry radial symmetry,What is symmetry?,"1 : Balanced proportions, also : beauty of form arising from balanced proportions. 
2 : The property of being symmetrical especially : correspondence in size, shape, and relative position of parts on opposite sides of a dividing line or median plane or about a center or axis — compare bilateral symmetry, radial symmetry."
387,symmetry principle,symmetry principle symmetry cause must appear effect effect may possess symmetry symmetry cause effects quantum,symmetry principle symmetry principle symmetry cause must appear effect effect may possess symmetry symmetry cause effects quantum,What is symmetry principle?,"What the symmetry principle means is that any symmetry of a cause must appear in its effect, while the effect may possess symmetry that is not symmetry of the cause. Causes and effects in quantum systems are discussed."
388,inverse transformation,said invertible linear transformation x inverse casual whatever input x,inverse transformation said invertible linear transformation x inverse casual whatever input x,What is T-1 inverse transformation?,"T is said to be invertible if there is a linear transformation S:W→V such that S(T(x))=x for all x∈V. S is called the inverse of T. In casual terms, S undoes whatever T does to an input x."
389,derivative tangent function,derivative tangent secant squared derivative cotangent negative cosecant squared,derivative tangent function derivative tangent secant squared derivative cotangent negative cosecant squared,What is derivative of tangent function?,The derivative of tangent is secant squared and the derivative of cotangent is negative cosecant squared.
